Time,Length
503.952039000,291
503.953538000,84
503.966031000,90
504.749808000,60
508.189718000,60
519.099572000,60
526.719434000,60
529.689377000,60
531.249303000,60
532.439329000,60
532.639335000,60
532.749276000,60
534.009248000,60
536.029271000,60
538.769227000,60
539.013953000,88
539.017950000,606
539.039687000,214
539.042435000,273
539.056552000,139
539.149126000,60
539.261802000,82
539.334008000,667
539.338630000,86
541.259090000,60
542.899094000,60
543.609031000,60
548.678945000,60
552.798940000,60
552.842163000,82
552.842912000,60
553.768849000,60
554.588138000,67
554.658932000,60
555.858826000,60
557.553670000,301
557.648868000,60
557.742930000,91
557.744181000,87
557.744929000,82
557.783656000,90
557.797897000,1434
557.797907000,426
557.802519000,82
557.846867000,90
557.848242000,99
557.849120000,82
557.850740000,301
557.853114000,504
557.854737000,86
557.855866000,86
557.857361000,86
557.858609000,86
557.859734000,86
557.860866000,86
557.861871000,86
557.863112000,86
557.864481000,86
557.865605000,86
557.866729000,86
557.867979000,86
557.869234000,86
557.870477000,86
557.871602000,86
557.872726000,86
557.875358000,242
557.901963000,90
557.903707000,343
557.905332000,82
557.906956000,91
557.907955000,87
557.908705000,82
557.931565000,90
558.518832000,60
561.408699000,60
564.146658000,60
564.748667000,60
566.953957000,82
579.103562000,60
586.718297000,60
589.688246000,60
591.248165000,60
592.438191000,60
592.638195000,60
592.748133000,60
594.008117000,60
599.458043000,60
